person,job,label,theme,text,date,lemmatized_text
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על מדיניות המינויים במשרד האוצר,"כל התפקידים הבכירים באוצר אויישו במינויים מקצועיים, ולראשונה אי פעם היה רוב נשי בהנהלה הבכירה של האוצר",2017-12-08,"כול ה תפקיד ה בכיר ב ה אוצר אויש ב מינוי מקצועי , ו לראשונה אי פעם היה רוב נשי ב ה הנהלה ה בכיר של ה אוצר"
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הישגיו בתחום מחירי הדיור,״הרבעון האחרון שלי באוצר היתה הפעם הראשונה מאז 2007 בה מחירי הדיור ירדו במקצת״,2017-12-08,ה רבעון ה אחרון של אני ב ה אוצר היה ה פעם ה ראשון מ אז 2007 ב היא מחיר ה דיור ירד ב מקצת
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על הישגי מדיניותו כשר אוצר בנושא החברות הממשלתיות,"שינינו מהיסוד את כל דרך הניהול של החברות הממשלתיות, הוצאנו מהן את המינויים הפוליטיים והעברנו אותן מהפסד שנתי קבוע של מעל 600 מיליון שקל לרווח שנתי קבוע של מעל 2 מיליארד שקל",2017-12-08,"שינה מ ה יסוד את כול דרך ה ניהול של ה חבר ה ממשלתי , הוצא מה את ה מינוי ה פוליטי ו העביר את הן מ הפסד שנתי קבוע של מעל 600 מיליון שקל רווח שנתי קבוע של מעל 2 מיליארד שקל"
יריב לוין,שר התיירות הליכוד,4,על עמדתו של ראש הממשלה לגבי חוק ההמלצות,"ראש הממשלה הבהיר שהוא לא מעוניין בדבר הזה, [חוק ההמלצות] הוא עשה את זה כבר בישיבת שרי הליכוד לפני למעלה חודש [...] הוא לא עצר את החקיקה, מי שקיבל את ההחלטה הוא יור ועדת הפנים חכ אמסלם",2017-12-08,"ראש ה ממשלה ה בהיר ש הוא לא עונין ב ה דבר ה זה , חוק ה המלצה הוא עשה את זה כבר ב ישיבה שר ה ליכוד לפני ל ה מעלה חודש ... הוא לא עצר את ה חקיקה , מי ש קיבל את ה החלטה הוא יור ועדה ה פנים חכ אמסלם"
איילת שקד,חברת כנסת ימינה,2,"על הכרזתו של נשיא ארה""ב דונלד טראמפ על ירושלים","הקונגרס ברובו הגדול תומך בזה, גם דמוקרטים וגם רפובליקנים",2017-12-07,"ה קונגרס ב רובה ה גדול תמך ב ה זה , גם דמוקרט ו גם רפובליקני"
"ישראל כ""ץ",שר האוצר הליכוד,5,על מספר ההרוגים בתאונות דרכים בזמן כהונתו,"מראיין: שנת 2017 תסתיים עם עלייה במספר ההרוגים, שנה חמישית ברציפות
כץ: לא. הנתונים לא נכונים [...] מאז שנכנסתי לתפקידי ב-2009, למעלה מ-8 שנים, ביחס ל-8 השנים שלפני כן, יש ירידה במספר ההרוגים בכ-28%",2017-12-05,"מראיין: שנת 2017 תסתיים עם עלייה במספר ההרוגים, שנה חמישית ברציפות
כץ: לא. הנתונים לא נכונים [...] מאז שנכנסתי לתפקידי ב-2009, למעלה מ-8 שנים, ביחס ל-8 השנים שלפני כן, יש ירידה במספר ההרוגים בכ-28%"
יהודה גליק,חבר כנסת הליכוד,3,על יוזמתו להרחיב את האיסור על מכירת מוצרי טבק עד גיל 21,"זה חוק שפועל היום ב-18 מדינות בארצות הברית, ובכל מקום שהוא פועל צמצם את [צריכת] הסיגריות בקרב צעירים ב-50%. ונזכיר ש-90% מהמעשנים מתחילים בגיל צעיר, בגיל תיכון או עד גיל 21",2017-12-04,"זה חוק ש פעל היום ב 18 מדינה ב ארץ ה ברית , ו ב כול מקום ש הוא פעל צמצם את צריכה ה סיגריה בקרב צעיר ב 50 . ו הזכיר ש 90 מ ה עישן התחיל ב גיל צעיר , ב גיל תיכון או עד גיל 21"
עודד פורר,חבר כנסת ישראל ביתנו,5,על החלטת ישראל ביתנו שלא להטיל וטו על קידום חוק המרכולים,אין לנו [לישראל ביתנו] בקואליציה זכות וטו על החוק הזה. זכות וטו בקואליציה ניתנת רק על חוקי יסוד,2017-12-04,אין ל אנחנו לישראל ביית ב ה קואליציה זך וטו על ה חוק ה זה . זכות וטו ב ה קואליציה ניתן רק על חוק יסוד
מיכאל מלכיאלי,"חבר כנסת ש""ס",5,על הצעת החוק שתאפשר תכניות בהפרדה מגדרית במוסדות להשכלה גבוהה,עד היום המלג נתן למכללות החרדיות את האפשרות לתת תואר שני [...] בסך הכל אנחנו מבקשים שהמכללות שעד היום לימדו בנפרד ימשיכו ללמד בנפרד. תלכו למכללות החרדיות ותראו שיש ירידה בעשרות אחוזים ברישום לתואר שני בשנה הבאה,2017-12-03,עד ה יום ה מלג ניתן ל מכללה ה חרדי את ה אפשרות נתן תואר שני ... ב ה סך ה כול הוא ביקש ש ה מכללה ש עד היום לימד ב ה נפרד המשיך לימד ב ה נפרד . הלך ל מכללה ה חרדי ו הראה ש יש ירידה ב עשר אחוז ב רישום ל תואר שני ב ה שנה ה בא
ציפי חוטובלי,סגנית שר במשרד החוץ הליכוד,5,"על החלטת בג""ץ להרוס חלק מהמבנים בנתיב האבות","בגץ החליט, באופן שהוא בעיני בלתי מוסרי, להרוס ולהחריב חלק מהבתים במקום [שכונת נתיב האבות] למרות שלא היה שום תובע פלסטיני שטען בעלות על הקרקע",2017-12-03,"בגץ החליט , ב ה אופן ש הוא ב עין בלתי מוסרי , הרס ו החריב חלק מ ה בית במקום שכונה נתיב ה אב למרות ש לא היה שום תובע פלסטיני ש טען ב ה עלות על ה קרקע"
דוד אמסלם,שר התקשורת הליכוד,5,על חוק ההמלצות,"חוק ההמלצות נוגע בכל התיקים המשטרתיים בעבירות שבתחום טיפול הפרקליטות, ועל כולם, ללא יוצא מן הכלל, יחול איסור פירסום על המלצת המשטרה. כאמור, כ- 30,000 תיקים ולא כ- 200, כפי שמנסים לצייר!!! [...] כ- 20,000 אזרחים מידי שנה, כמוכם וכמוני שכל עולמם חרב עליהם רק בגלל פרסום ההמלצה!",2017-12-01,"חוק ה המלצה נגע ב כול ה תיק ה משטרתי ב עבירה ש ב תחום טיפול ה פרקליטות , ו על כולם , ללא יוצא מן ה כלל , חל איסור פרסום על המלצה ה משטרה . כ ה אמור , כ 30,000 תיק ו לא כ 200 , כפי ש ניסה צייר !!! ... כ 20,000 אזרח מידי שנה , כמו אתם ו כמו אני ש כול עולם חירב עלה רק בגלל פרסום ה המלצה !"
דוד אמסלם,שר התקשורת הליכוד,3,"על הסיבות לקידום חוק ההמלצות, שימנע מהמשטרה לפרסם סיכומי חקירה","זה נתון שנתן שי ניצן פרקליט המדינה. מתוך 18 אלף תיקים שהמשטרה ממליצה, כותבת לפרקליטות שיש תשתית ראייתית, בכ-80% הפרקליטות סוגרת את התיקים",2017-11-28,"זה נתן ש ניתן שי ניצן פרקליט ה מדינה . מתוך 18 אלף תיק ש ה משטרה המליץ , כתב ל פרקליטות ש יש תשתית ראייתית , בכ 80 ה פרקליטות סגר את ה תיק"
דוד אמסלם,שר התקשורת הליכוד,5,על החוק שימנע מהמשטרה לפרסם סיכומי חקירות,"היום אסור לפרסם את המלצת המשטרה בלי קשר לחוק הזה. אני כתבתי מכתב ליועמש, אני רוצה להבין על איזה בסיס חוקי אתה נשען בזה שאתה נותן לפעמים היתרים לפרסם. אין חוק כזה.
לכן, במשטר דמוקרטי מה שלא כתוב במפורש בחוק אסור לעשות, בעיקר כשאתה רומס זכויות אדם",2017-11-28,"היום אסור לפרסם את המלצת המשטרה בלי קשר לחוק הזה. אני כתבתי מכתב ליועמש, אני רוצה להבין על איזה בסיס חוקי אתה נשען בזה שאתה נותן לפעמים היתרים לפרסם. אין חוק כזה.
לכן, במשטר דמוקרטי מה שלא כתוב במפורש בחוק אסור לעשות, בעיקר כשאתה רומס זכויות אדם"
יריב לוין,שר התיירות הליכוד,5,על החקיקה שתתיר לשר הפנים למנוע פתיחת עסקים בשבת,"נוצר התקדים של תל אביב ובעקבותיו פסיקה של ביהמש העליון, שבא ואמר שלמרות שהחוק קובע ששר הפנים צריך לאשר, הרי שמבחינת ביהמש הסמכות היא טכנית ולא מהותית, והשר חייב לחתום בכל מקרה. מה שאנחנו עושים זה להחזיר את הסדר כמו שהיה מלכתחילה",2017-11-27,"נוצר ה תקדים של תל אביב ו בעקבות הוא פסיקה של ביהמש ה עליון , ש בא ו אמר ש למרות ש ה חוק קבע ש שר ה פנים צריך אישר , הרי ש מ בחינה ביהמש ה סמכות הוא טכני ו לא מהותי , ו ה שר חייב חתם ב כול מקרה . מה ש הוא עשה זה החזיר את ה סדר כמו ש היה מלכתחילה"
מיקי לוי,חבר כנסת יש עתיד,1,על חוק ההמלצות,נטלתם את סמכותו של היועמש לאשר פרסום [של סיכום החקירה המשטרתית] כאשר יש עניין לציבור,2017-11-27,ניטל את סמכות של ה יועמש אישר פרסום של סיכום ה חקירה ה משטרתי כאשר יש עניין ל ה ציבור
אריה דרעי,"שר הפנים ש""ס",5,"על ההסכם הקואליציוני בין הליכוד לש""ס",יש סעיף מפורש בהסכם הקואליציוני שאם יש פסיקות של בית משפט העליון שמפרות את הסטטוס קוו הקואליציה מחוייבת לתקן בחקיקה,2017-11-27,יש סעיף מפורש ב ה הסכם ה קואליציוני ש אם יש פסיקה של בית משפט ה עליון ש הפר את ה סטטוס קיווה ה קואליציה חויב תיקן ב ה חקיקה
דוד ביטן,חבר כנסת הליכוד,5,על עבודות הרכבת,"״הבעיה עם הרכבת, לצערי הרב, שאת כל העבודות שלהם הם עושים רק בשבת",2017-11-25,"ה בעיה עם ה רכבת , ציער ה רב , ש את כול ה עבודה ש ל הם הוא עשה רק ב ה שבת"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,"על דו""ח מבקר המדינה בעניין תמיכת המועצה האיזורית מטה בנימין בעמותות","הביקורת מתייחסת לתקופה שאני כבר כיהנתי בכנסת. לא הייתי מעורב, לא ברגבים ולא באופק",2017-11-22,"ה ביקורת התייחס ל ה תקופה ש הוא כבר כיהן ב ה כנסת . לא היה מעורב , לא ב ה רגב ו לא ב ה אופק"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על קביעת מבקר המדינה לגבי התמיכה בעמותות של המועצה האיזורית מטה בנימין,"המבקר קובע מפורשות שהתמיכה הייתה חוקית, אושרה על ידי בית המשפט, אושרה באופן קונקרטי על ידי יועצים משפטיים גם של המועצה גם של משרד הפנים וגם של משרד המשפטים",2017-11-22,"ה מבקר קבע מפורשות ש ה תמיכה היה חוקי , אושר על יד בית ה משפט , אושר ב אופן קונקרטי על יד יועץ משפטי גם של ה מועצה גם של משרד ה פנים ו גם של משרד ה משפט"
דוד אמסלם,"יו""ר ועדת הפנים והגנת הסביבה הליכוד",5,"על חוק ההמלצות, שימנע מהמשטרה לכתוב את מסקנותיה בתום חקירה","אם פער הזמנים היה שבוע-שבועיים לא הייתי מגיש את ההצעת חוק הזאת. אבל יש פה משהו מבני עקום, שהרבה פעמים אנשים מקבלים את ההחלטות של הפרקליטות אחרי שלוש-ארבע-חמש שנים מהרגע שהמשטרה [מעבירה את התיק לפרקליטות]",2017-11-21,"אם פער ה זמן היה שבוע שבועי לא היה הגיש את ה הצעה חוק ה זאת . אבל יש פה משהו מבני עקום , ש הרבה פעם איש קיבל את ה החלטה של ה פרקליטות אחרי שלוש ארבע חמש שנה מ ה רגע ש ה משטרה העביר את ה תיק ל פרקליטות"
מוטי יוגב,חבר כנסת הבית היהודי,5,"על הריבוי הטבעי ביו""ש ובישראל","במדינת ישראל וביהודה ושומרון יחד, כ-4.2 [מיליון] ערבים שהריבוי הטבעי שלהם קטן מ- 2.9 למשפחה",2017-11-19,"ב מדינה ישראל ו ב יהודה ו שומרון יחד , כ 4.2 מיליון ערבי ש ה ריבוי ה טבעי של הם קטון מ 2.9 ל משפחה"
גלעד ארדן,השר לביטחון פנים הליכוד,5,על האפשרות לכליאת מסתננים ומבקשי מקלט במתקן סהרונים,"ארדן: בגץ אישר את זה, והיום על פי חוק הכניסה לישראל אפשר לכלוא אותם בכלא סהרונים
מראיין: אפשר לכלוא אותם לחודשיים
ארדן: לא, לא, אפשר לכלוא אותם לתקופה ארוכה יותר עד שהם יסכימו לצאת מהארץ",2017-11-19,"ארדן: בגץ אישר את זה, והיום על פי חוק הכניסה לישראל אפשר לכלוא אותם בכלא סהרונים
מראיין: אפשר לכלוא אותם לחודשיים
ארדן: לא, לא, אפשר לכלוא אותם לתקופה ארוכה יותר עד שהם יסכימו לצאת מהארץ"
יואב גלנט,שר החינוך הליכוד,4,על מחירי הדיור בשנים שקדמו לכניסתו לתפקיד,אנחנו קיבלנו לידינו את התהליך הזה ובו כל שנה מחירי הדיור היו עולים ב-10% עד 15% ובסך הכל 100% בעשור - המצב הזה נבלם,2017-11-14,הוא קיבל לידי אנחנו את ה תהליך ה זה ו ב הוא כול שנה מחיר ה דיור היה עלה ב 10 עד 15 ו ב סך ה כול 100 ב עשור ה מצב ה זה נבלם
דוד ביטן,חבר כנסת הליכוד,5,על שכרו של ראש הממשלה,ראש ממשלה מרוויח כמו סגן ראש עיר וזה דבר שלא יעלה על הדעת,2017-11-12,ראש ממשלה הרוויח כמו סגן ראש עיר ו זה דבר ש לא ייעל על ה דעת
דוד אמסלם,שר התקשורת הליכוד,1,על עדכון שכר חברי הכנסת,"אני וביטן מוותרים גם היום בכנסת על התוספת שלנו. אני חושב שזה רק אני והוא כמעט, כבר מאז תחילת הכנסת",2017-11-09,"הוא ו ביט ויתר גם ה יום ב כנסת על ה תוספת ש ל אנחנו . הוא חשב ש זה רק הוא ו הוא כמעט , כבר מ אז תחילה הכנסה"
דוד אמסלם,שר התקשורת הליכוד,4,על שכרו כמנהל אגף בעיריית ירושלים,עזבתי את העירייה אחרי 14 שנה עם שכר של 20 אלף שקל,2017-11-09,עזב את ה עירייה אחרי 14 שנה עם שכר של 20 אלף שקל
רועי פולקמן,יושב ראש סיעת כולנו כולנו,4,"על המשבר בין קק""ל למדינה","דובר כרגע בהסכם הזמני הזה על מיליארד ל-2018 ומיליארד ל-2019, זה מה שסוכם בוועדת הכספים האחרונה כפשרה, והם [קקל] חזרו בהם מזה",2017-11-07,"דובר כרגע ב ה הסכם ה זמני ה זה על מיליארד ל 2018 ו מיליארד ל 2019 , זה מה ש סוכם ב ועדה ה כסף ה אחרון כ פשרה , ו הוא קקל חזר ב ה הוא מ זה"
"שי באב""ד","מנכ""ל משרד האוצר",5,"על הצעת החוק שתעגן העברת כספים מקק""ל למדינה","קקל היא חברה פרטית, היחידה בארץ שלא משלמת מיסים",2017-11-07,"קקל הוא חבר פרטי , ה יחיד ב ה ארץ ש לא שילם מס"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,"על ההסכם בין קק""ל למדינה","״בתקציב הקודם ממשלת ישראל חתמה על הסכם עם קק״ל, במסגרתו קק״ל העבירה למדינה 2.2 מיליארד שקלים, והמדינה התחייבה, אגב התחייבות זו מעוגנת בהחלטת ממשלה [...] לא לבקש מקק״ל תקציב נוסף עד שנת 2021. במסגרת אותו הסכם הממשלה גם התחייבה לא לקדם את החוק הזה",2017-11-07,"ב ה תקציב ה קודם מ השלה ישראל חתם על הסכם עם קק ל , ב מסגרת קק ל העביר ל ה מדינה 2.2 מיליארד שקל , ו ה מדינה התחייב , אגב התחייבות זו עוגן ב החלטה ממשלה ... לא ביקש מקק ל תקציב נוסף עד שנה 2021 . ב מסגרת את הוא הסכם ה ממשלה גם התחייב לא קידם את ה חוק ה זה"
דוד ביטן,"ח""כ הליכוד",5,על חוק עונש מוות למחבלים,"היתה הצעת חוק לפני שנה, שנתיים [...] הפסדנו בהצבעה בשני קולות ולא יכולנו להעביר, וראש הממשלה תמך בהצעה",2017-11-05,"היה הצעה חוק לפני שנה , שנתי ... הפסיד ב ה הצבעה ב שני קולה ו לא יכול העביר , ו ראש ה ממשלה תמך ב ה הצעה"
איוב קרא,שר התקשורת הליכוד,3,"על תאגיד השידור הציבורי, בעקבות הדיון בבג""ץ על פיצולו","קרא: בעצם הרייטינג [של התאגיד] לא עלה, למרות חצי שנה כבר שהוא רץ
מראיין: הרייטינג כן עלה, איוב קרא
קרא: לא עלה",2017-11-02,"קרא: בעצם הרייטינג [של התאגיד] לא עלה, למרות חצי שנה כבר שהוא רץ
מראיין: הרייטינג כן עלה, איוב קרא
קרא: לא עלה"
רועי פולקמן,יושב ראש סיעת כולנו כולנו,5,על הורדת מס הקנייה על הטלפונים הניידים,היום טלפון סלולרי בישראל הוא מהזולים בעולם,2017-11-02,היום טלפון סלולרי ב ישראל הוא מ ה זול ב ה עולם
זאב אלקין,מועמד לכנסת תקווה חדשה,1,על תכניתו להוציא שתי שכונות מתחום השיפוט של ירושלים,ישנן שתי שכונות גדולות במזרח ירושלים ששונות מכל שאר השכונות הערביות בעיר: מחנה פליטים שועפט וכפר עקב. בעבר התקבלה החלטה להעביר גדר הפרדה בתוך שטחה המוניציפלי של ירושלים שהשאירה את שתי השכונות הללו מחוץ לגדר [...] הערכות הן שגרים שם כ-150-100 אלף איש,2017-10-31,יש שתיים שכונה גדול ב ה מזרח ירושלים ש שנה מ כול שאר ה שכונה ה ערבי ב ה עיר החנה פליט ש ועפט ו כפר עקב . ב ה עבר התקבל החלטה העביר גדר ה פרדה בתוך ש טח ה מוניציפלי של ירושלים ש השאיר את שתיים ה שכונה הללו מ חוץ ל ה גדר ... ה ערכה הוא שגר שם כ 150 100 אילף איש
צחי הנגבי,השר לענייני התיישבות הליכוד,5,על סמכות המשטרה להביע את עמדתה בסיכומי חקירות,"זה לא תפקידם. זה מעולם לא היה תפקידם [של המשטרה], כי עכשיו אני שומע שהם אף פעם לא ממליצים. הם רק כותבים האם הושגה תשתית ראייתית לעבירות. אבל השגת התשתית הראייתית לעבירות זו לא המלאכה של חוקרים, זו המלאכה של המשפטנים",2017-10-31,"זה לא תפקיד . זה מעולם לא היה תפקיד של ה משטרה , כי עכשיו הוא שמע ש הוא אף פעם לא המליץ . הוא רק כתב ה אם הושג תשתית ראייתית ל ה עבירות . אבל השגה ה תשתית ה ראייתית ל עבירות זו לא ה מלאכה של חוקר , זו ה מלאכה של ה משפטן"
ציפי לבני,"ח""כ ויו""ר מפלגת התנועה המחנה הציוני",1,על דבריו של ליברמן שיש לאמץ את מגילת העצמאות כחוק יסוד,"רק חבל שביום רביעי האחרון, כשהנחתי הצעת חוק שמאמצת את מגילת העצמאות - ׳ישראל ביתנו׳ הצביעה נגד, בהנחייתו של ליברמן.",2017-10-30,"רק חבל ש ב יום רביע ה אחרון , כש הנחית הצעה חוק ש אימץ את מגילה ה עצמאות ישראל ביית הצביע נגד , ב הנחיה של ליברמן ."
מיכל רוזין,חברת כנסת מרצ,5,על מצע מפלגת הליכוד,כבר 30 שנה אין מצע לליכוד,2017-10-29,כבר 30 שנה אין מצע ל ה ליכוד
אלי בן-דהן,סגן שר הביטחון הבית היהודי,1,"על שינוי חוקי יסוד, בעקבות הצעת החוק לאסור חקירה של ראש ממשלה מכהן",בהסכם הקואליציוני כתוב שב[תיקון של] חוקי יסוד צריך הסכמה של כל מרכיבי הממשלה,2017-10-29,ב ה הסכם ה קואליציוני כתוב שב תיקון של חוק יסוד צריך הסכמה של כול מרכיב ה ממשלה
זאב אלקין,מועמד לכנסת תקווה חדשה,3,על הצעת החוק נגד חקירת ראש ממשלה מכהן,"החוק, מה שקוראים לו החוק הצרפתי, לא הומצא על ידי דודי אמסלם והוא לא הראשון שהציע לאמץ את זה במדינת ישראל. החוק הזה עלה משמעותית לאוויר העולם ונוסח בפעם הראשונה בעברית והוגש בימי ממשלת אולמרט על ידי חברי כנסת מקדימה",2017-10-23,"ה חוק , מה ש קרא ל הוא ה חוק ה צרפתי , לא הומצא על יד דוד אמסלם ו הוא לא הראשון ש הציע אימץ את זה ב מדינה ישראל . ה חוק ה זה עלה משמעותי ל אוויר ה עולם ו נוסח ב ה פעם ה ראשון ב ה עברי ו הוגש ב ים ממשלה אולמרט על יד חבר כנסת מ קדימה"
שלמה נאמן,ראש המועצה האזורית גוש עציון,4,"בתגובה להחלטת בג""ץ להרוס את המבנים בנתיב האבות","לא מדובר בהריסת בתים שנבנו על אדמה פרטית [...] אף אחד לא הוכיח את הבעלות על האדמה הזו. פשוט במסגרת ההוכחה וההכרזה של האדמה הזו כאדמת מדינה, נשארו קטעים [...] שלא ניתן להוכיח עליהם שהם אדמת מדינה, וזה עדיין נמצא בבירור. זה כל הסיפור. אין אף אדם שמגיע ואומר זו אדמה שלי",2017-10-23,"לא דובר ב הריסה בית ש נבנה על אדמה פרטי ... אף אחד לא הוכיח את ה בעלות על ה אדמה ה זו . פשט ב מסגרת ה הוכחה ו ה הכרזה של ה אדמה ה זו כ אדמה מדינה , נשאר קטע ... ש לא ניתן הוכיח עלה ש הוא אדמת מדינה , ו זה עדיין נמצא ב בירור . זה כול ה סיפור . אין אף אדם ש הגיע ו אמר זו אדמה של אני"
אמיר אוחנה,השר לבטחון פנים הליכוד,5,על הצעת החוק לאיסור חקירת ראש ממשלה מכהן,אולמרט בסופו של דבר זוכה מהפרשה בגינה קראו לו להתפטר (המעטפות),2017-10-21,אולמרט ב סוף של דבר זכה מ ה פרשה בגין היא קרא ל הוא התפטר ה מעטפת
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על מצב המשק בעת כהונתו כשר האוצר,"ב-2013 נתניהו העביר לי משק במשבר [...] בור תקציבי של 40 מיליארד שקל, גירעון משתולל, אבטלה גבוהה [...] ושנתיים אחכ העברתי לו משק חזק, בור תקציבי 0, גירעון 2.6% מהנמוכים בתולדות המדינה, אבטלה מהנמוכות בתולדות המדינה",2017-10-16,"ב 2013 נתניהו העביר ל אני משק ב ה משבר ... בור תקציבי של 40 מיליארד שקל , גרעון השתולל , אבטלה גבוה ... ו שנה אחכ העביר ל הוא משק חזק , בור תקציבי 0 , גרעון 2.6 מ ה נמוך ב תולדה ה מדינה , אבטלה מ ה נמוך ב תולדה ה מדינה"
דוד אמסלם,שר התקשורת הליכוד,3,על היוזמה לאסור חקירות נגד ראש ממשלה מכהן,"גם בחוק בצרפת אי אפשר לחקור את הנשיא, באיטליה אי אפשר לחקור",2017-10-16,"גם ב ה חוק ב צרפת אי אפשר חקר את ה נשיא , ב איטליה אי אפשר חקר"
איילת שקד,חברת כנסת ימינה,2,"על ההחלטה לאפשר מינוי משנים למנכ""לי משרדי ממשלה במשרות אמון","בניגוד לדיווחים שגויים בתקשורת, אין להחלטה עלות תקציבית. או שהמשרות קיימות או שהן יבנו על בסיס תקנים קיימים",2017-10-15,"ב ניגוד ל דיווח שגוי ב ה תקשורת , אין ל ה החלטה עלות תקציבי . או ש ה משרה קיים או ש הוא נבנה על בסיס תקן קיים"
מוטי יוגב,חבר כנסת הבית היהודי,2,על צילומי הלוויין של גוגל בישראל,"הקונגרס האמריקאי אחרי פניות אליו, ואחרים, ביקשו מגוגל שבישראל יצלמו ברזולוציות נמוכות יותר, וכך גוגל אכן נוהגת ומתחשבת בצרכים הביטחוניים של ישראל",2017-10-10,"ה קונגרס ה אמריקני אחרי פנייה אל הוא , ו אחר , ביקש מגוגל ש ב ישראל צילם ב רזולוציה נמוך יותר , ו כך גוגל אכן נהג ו התחשב ב צורך ה בטחוני של ישראל"
דוד ביטן,חבר כנסת הליכוד,5,"על פסיקת בג""ץ כי ההפגנות בפתח תקווה אינן דורשות רישיון","אז עכשיו כל אחד יכול לבוא, אלף, אלפיים, חמשת אלפים, רק לתת התראה של חצי שעה לפני זה",2017-10-08,"אז עכשיו כול אחד יכול בא , אילף , אלפיים , חמשה אלף , רק ל תת התראה של חץ שעה לפני זה"
יריב לוין,שר התיירות הליכוד,5,על היעדרות הרשות השופטת מהטקס בגוש עציון,זה לא עניין לבחירה של השופטים איזה טקס נאה בעיניהם ואיזה לא. הם צריכים להתייצב על פי כללי הפרוטוקול כנציגים רשמיים של הרשות השופטת,2017-10-03,זה לא עניין ל בחירה של ה שופט איזה טקס נאה ב ה עין ו איזה לא . הוא צריך התייצב על פה כלל ה פרוטוקול כ נציג רשמי של ה רשות ה שפט
עבד אל-חכים חאג' יחיא,חבר כנסת הרשימה המשותפת,5,"על ביקורי ח""כים אצל אסירים ביטחוניים","אסירים ביטחוניים, אם אנחנו לא נכנסים לבקר אותם ולבדוק איך מתייחסים אליהם ובאיזה תנאים הם נכלאים, אף אחד לא יכול להיכנס",2017-10-01,"אסיר בטחוני , אם הוא לא נכנס ביקר את הם ו בדק איך התייחס אל ו ב איזה תנאי הוא נכלא , אף אחד לא יכול נכנס"
אופיר אקוניס,השר לשיתוף פעולה אזורי הליכוד,5,על האפשרות לגירוש משפחות מחבלים,"גירוש משפחות המחבלים, זה צעד שעשו [...] יצחק רבין כראש ממשלה, מטעם מפלגת העבודה עשה זאת. עשה זאת! ביצע את הגירוש הזה, אגב במספרים לא קטנים בכלל",2017-09-26,"גירוש משפחה ה מחבל , זה צעד ש עשה ... צחק רבי כ ראש ממשלה , מטעם מפלגה ה עבודה עשה זאת . עש זאת ! ביצע את ה גירוש ה זה , אגב ב מספר לא קטן בכלל"
אורי אריאל,שר החקלאות הבית היהודי,4,על אמון הציבור בבית המשפט העליון,"הייתה להם [לבית המשפט העליון] ירידה מ-80% אמון לפני כ-4 או 5 שנים, הם הגיעו ל-30%. אז נכון שהפוליטיקאים פחות, אבל את מי זה מנחם בכלל?",2017-09-26,"היה ל ה הוא ל בית ה משפט ה עליון ירידה מ 80 אמון לפני כ 4 או 5 שנה , הוא הגיע ל 30 . אז נכון ש ה פוליטיקאי פחות , אבל את מי זה ניחם בכלל ?"
מוטי יוגב,"ח""כ הבית היהודי",3,על תקציב הבטחון,"״מ-2016, משרד האוצר, משרד הביטחון ומשרד ראש הממשלה... בהסכמות הגיעו לתקציב הגדול ב-20 מיליארד שקל מתקופת 'יש עתיד'״",2017-09-25,"מ 2016 , משרד ה אוצר , משרד ה ביטחון ו משרד ראש ה ממשלה ... ב ה הסכמה הגיע ל ה תקציב ה גדול ב 20 מיליארד שקל מ תקופה יש עתיד"
אבי גבאי,"יו""ר מפלגת העבודה העבודה",5,על השאלה אם המלצות ועדת צמח חייבו הקמת צינור נוסף ממאגר תמר לחוף,"לפי הכללים של ועדת צמח, שהממשלה אישרה אותם ב-2013 אם אני זוכר נכון, או קצת לאחר מכן, חברות הגז היו צריכות לבנות צינור נוסף ממאגר תמר לחוף, לא בין אשדוד לאשקלון",2017-09-24,"לפי ה כלל של ועדה צמח , ש ה ממשלה אישר את הם ב 2013 אם הוא זכר נכון , או קצת לאחר מ כן , חברה ה גז היה צריכה לבן צינור נוסף מ מאגר תמר ל ה חוף , לא בין אשדוד ל ה אשקלון"
דוד אמסלם,"יו""ר ועדת הפנים הליכוד",3,על השאלה האם למשטרה יש סמכות להמליץ על העמדה לדין,"אמסלם: המשטרה, אין לה סמכות כזו [להמליץ על העמדה לדין של נחקרים]...
מראיין: אבל זה סיכום החקירה, מה זה אין סמכות
אמסלם: אדוני, אין דבר כזה. המשטרה צריכה לחקור ולהעביר את הממצאים",2017-09-19,"אמסלם: המשטרה, אין לה סמכות כזו [להמליץ על העמדה לדין של נחקרים]...
מראיין: אבל זה סיכום החקירה, מה זה אין סמכות
אמסלם: אדוני, אין דבר כזה. המשטרה צריכה לחקור ולהעביר את הממצאים"
בנימין נתניהו,ראש הממשלה הליכוד,4,על החלטת ארגון הבריאות העולמי לגבי רמת הגולן,במאי האחרון [...] ארגון הבריאות העולמי אימץ החלטה בחסות סורית שביקרה את ישראל על תנאי הבריאות ברמת הגולן,2017-09-19,במאי ה אחרון ... ארגון ה בריאות ה עולמי אימץ החלטה ב חסות סורי ש ביקר את ישראל על תנאי ה בריאות ב רמה ה גולן
