person,job,label,theme,text,date 
יובל שטייניץ,שר האנרגיה הליכוד,2,על התגובות לגילוי מוטציית הקורונה הבריטית,הרבה מדינות אירופיות אמרו גם לאזרחים שלהן: מי שבבריטניה שיישאר כמה שבועות עד שיתבהר המצב,2021-01-18
יובל שטייניץ,שר האנרגיה הליכוד,3,על מבצע החיסון נגד קורונה,מדינת ישראל היא המדינה הראשונה בעולם שכבר הבטיחה לעצמה מנות חיסון לכל אזרחיה,2021-01-13
יואב גלנט,שר החינוך הליכוד,5,על הצמיחה בישראל,התוצר לנפש במדינת ישראל עלה פי 2 בעשור האחרון,2021-01-11
ניצן הורוביץ,"יו""ר מרצ מרצ",5,על הייצוג השוויוני במרצ,אנחנו המפלגה הראשונה בתולדות ישראל שמציבה שני מועמדים ערבים בחמישייה הראשונה,2021-01-07
הליכוד,מפלגה,4,על התוכנית לפיתוח כלכלי בחברה הערבית,נתניהו הביא 15 מיליארד שקל למגזר הערבי - פי 100 יותר מכל ראש ממשלה קודם בישראל,2021-01-04
מנסור עבאס,"יו""ר רע""מ הרשימה המשותפת",2,על דפוסי ההצבעה של הציבור הערבי,"נָתַנּוּ לברק 98% מהקולות שלנו לראשות הממשלה, הפנה אלינו עורף - ואתה יודע מה קיבלנו",2021-01-03
ירון זליכה,"יו""ר המפלגה ""הכלכלית""",0,על הישגיו כחשב הכללי באוצר,התקופה שאני כיהנתי באוצר הייתה תקופת הצמיחה הכי ארוכה והכי חזקה בישראל,2021-01-02
איילת שקד,חברת כנסת ימינה,2,על הצניחה בתוצר בגלל הקורונה,"לראשונה בהיסטוריה התוצר של ישראל יורד. לא [כשהיתה] אינפלציה, לא במלחמת יום כיפור - היום!",2020-12-31
אלי אבידר,חבר כנסת ישראל ביתנו,4,על הישגי נתניהו בבחירות האחרונות,בשלוש מערכות הבחירות האחרונות נתניהו כל פעם יורד. המצב הכי טוב שלו היה בסבב הראשון,2020-12-23
אמיר אוחנה,השר לבטחון פנים הליכוד,2,על השפעת נתניהו על מערכת המשפט,"העליון קבע שזה תקין שרמ עם כתב אישום יקבע מי יהיה שר המשפטים, ומי יקבע מי יהיו השופטים",2020-12-19
איציק שמולי,שר העבודה והרווחה העבודה,3,על הישגיו במשרד הרווחה,"בזמן שאין תקציב הכפלתי את מספר המפקחים [במעונות] פי שישה. היו רק 20, היום יש 120",2020-12-17
צחי הנגבי,השר לענייני התיישבות הליכוד,5,על הסיוע הממשלתי במגפת הקורונה,כ-150 מיליארד שקל הופנו למענקים לבעלי עסקים. זה מה שהמדינה הקצתה,2020-12-17
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על לימודי הליבה של תלמידים חרדים,"הילדים החרדים פשוט לוקחים מהם עתיד. הם לא לומדים לימודי ליבה לא מתמטיקה, לא אנגלית",2020-12-16
מירי רגב,שרת התחבורה הליכוד,5,על ההכנות לחיסון מפני קורונה,"גרמניה - אין לה את החיסונים! ראש הממשלה הימר נכון, והביא את החיסונים",2020-12-12
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על התמותה מקורונה בישראל,תשווה כמה מתים למיליון איש בקפריסין וכמה אצלנו. אצלנו דומני פי 40,2020-12-06
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על הכוח האלקטורלי שלו ושל בני גנץ,"במערכת הבחירות הראשונה והשנייה שנינו היינו על הפתק כמועמדים משותפים, והיה 35 מנדטים. דווקא הירידה הייתה כשירדתי מהפתק",2020-12-05
רם שפע,חבר כנסת כחול לבן,4,על כללי אישור תקציב המדינה,נסביר: ממשלה אמורה כל שנה לסגור מראש את התקציב. מה שהיינו אמורים לסגור בתחילת 21' זה תקציב 22',2020-12-02
קטי שטרית,חברת כנסת הליכוד,4,על החלטות ועדת השרים לחקיקה,"הגשתי 19 הצעות חוק - אחת לא עברה. אבל כשהאופוזיציה מגישה, מיד זה עולה",2020-12-01
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על סגירת בתי הספר בשל הקורונה,אנחנו המדינה היחידה - אנחנו ובנגלדש - [שבה] ממרץ ילדים לא היו בבית ספר,2020-11-30
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",5,על נסיעת נתניהו לערב הסעודית,רהמ נוסע לערב הסעודית ולא מעדכן - בניגוד לחוק שקובע שכשהוא עוזב את ישראל הוא ימנה ממ. כשהוא הלך לניתוחון בישראל מינו ממ,2020-11-26
מירי רגב,שרת התחבורה הליכוד,5,על הגדרת סעודיה ובחריין כמדינות ירוקות לקורונה,"מי שקובע מי המדינות הירוקות זה לא אנחנו, אלא הארגון הרפואי הבינלאומי",2020-11-24
עמיר פרץ,שר הכלכלה העבודה,4,על מצב העבודה בסקרי הבחירות,"העבודה הייתה גם הייתה בשפל כזה.
אחרי שברק... היא לא עברה בסקרים את אחוז החסימה",2020-11-23
יולי אדלשטיין,שר הבריאות הליכוד,5,על חוק שיחייב התחסנות מפני קורונה,למיטב ידיעתי אין אף מדינה דמוקרטית שבה יש חוק חיסון חובה,2020-11-22
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",5,על הקריטריונים להקלת הגבלות הקורונה,"כשהתחילו לצאת מהסגר השני יצרו את מקדם ההדבקה, הכוכב החדש בשיח שהוא מקדם הפחדה להכשרת המגבלות הבאות",2020-11-19
"ישראל כ""ץ",שר האוצר הליכוד,3,על ביטול המכס ביבוא חמאה,"הביקוש [לחמאה] גדל, אבל לא רק מהיבוא. גם התוצרת המקומית נמכרה יותר מאשר קודם",2020-11-18
יואב גלנט,שר החינוך הליכוד,5,"על כך שבתיה""ס לא אשמים בגל הקורונה",בסוף אוגוסט היו במדינת ישראל כמיליון חולים - 15% מהאוכלוסייה לפי הבדיקות,2020-11-15
בנימין נתניהו,ראש הממשלה הליכוד,4,על היציבות הפיננסית של ישראל,"S&P משאירה את דירוג האשראי של ישראל ברמתו הגבוהה בזמן משבר הקורונה, בשעה שהיא הורידה אותו למדינות מפותחות",2020-11-14
שלמה קרעי,חבר כנסת הליכוד,3,על השפעת ההצמדה של שכר בכירים לשכר הממוצע,"יש קרוב לאלף בכירים [כאלה] במגזר הציבורי, שמקבלים שני מיליארד שקלים בשנה",2020-11-05
גדעון סער,חבר כנסת הליכוד,3,על ההצדקה לבחירות אזוריות לכנסת,"יש תת-ייצוג לאזורים שלמים בישראל בדגש על פריפריה, או האזורים היותר-מרוחקים מהמרכז. ויש ייצוג-יתר למרכז",2020-11-03
רפי פרץ,שר לירושלים ומורשת הבית היהודי,2,על מצוקת המלונות בירושלים,"85% מהתיירים בירושלים זרים, והתפוסה ירדה ל-3%. יש בעיר 17 אלף חדרים, פי 1.5 יותר מאילת, ויותר מכל שאר הארץ יחד",2020-11-02
אורלי לוי-אבקסיס,השרה לחיזוק וקידום קהילתי סיעת יחיד,3,על הצדקת קיומו של המשרד שלה,יש מדינות שכבר יש להן משרדי קהילות. אפילו באבו-דאבי יש שר לענייני קהילה,2020-10-26
זאב אלקין,מועמד לכנסת תקווה חדשה,0,על הצורך בסיוע דיפרנציאלי לסטודנטים,20% מהסטודנטים מגיעים מסוציו-אקונומי 10-9,2020-10-22
יפעת שאשא ביטון,"יו""ר ועדת הקורונה תקווה חדשה",3,"על המידע שהוצג לקבינט הקורונה לקראת החזרת בתיה""ס לפעילות",לא היה פילוח לגילאים. אנחנו יודעים בוודאות שילדים עד גיל 10-9 נדבקים ממש מעט ומדביקים ממש מעט,2020-10-22
יולי אדלשטיין,שר הבריאות הליכוד,5,על ירידת הליכוד בסקרים בזמן הקורונה,אין כרגע מדינה עם ממשלה פופולרית שזוכה להרבה מאוד אמון הציבור,2020-10-19
סמי אבו שחאדה,חבר כנסת הרשימה המשותפת,3,על ההסכם עם איחוד האמירויות,בטקסט בערבית לא מופיעות המילה 'נורמליזציה' וההקדמה שבה מוזכר הסכסוך הישראלי-פלסטיני,2020-10-15
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על האפשרות לפטר את היועץ המשפטי לממשלה,מי שצריך לדאוג לפיטוריו [של מנדלבליט] או לאשר אותם זה שר המשפטים אבי ניסנקורן,2020-10-14
יוליה מלינובסקי,חברת כנסת ישראל ביתנו,3,על הדרך למנוע התפשטות קורונה,ארגון הבריאות העולמי פרסם שסגר זה לא יעיל ושהם ממליצים למדינות לא להשתמש בסגרים,2020-10-13
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על העיכוב באישור התקציב בישראל,תעבור על רשימת מדינות OECD. כמעט כולן כבר אישרו תקציב ל-2021,2020-10-12
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",4,על אפליה לרעה של מחאות מימין,"אחרי שנים של הגבלת הפגנות ימין מול בית רהמ, יומיים הפגנות שמאל - והופ! בגץ מבטל את ההגבלות",2020-10-04
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על המחאה נגד מכירת נשק ישראלי לאזרים,אנחנו סוחרים עם אזרבייג'ן במיליארדי דולרים בשנה בנפט ועוד תחומים. הנשק לא חריג,2020-10-04
גילה גמליאל,השרה להגנת הסביבה הליכוד,3,על הנפקת החברה לאיכות הסביבה,זוהי הנפקת המיעוט הראשונה של חברה ממשלתית בישראל,2020-10-01
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הגשת הנחיות הקורונה לציבור,בכל מקום בעולם לקחו איש מקצוע שקט שיסביר לאזרחים כל יום את הנחיות הקורונה,2020-09-22
אמיר אוחנה,השר לבטחון פנים הליכוד,1,על הגבלת הפגנות בסגר הקורונה,"בשבדיה אסורה התקהלות של יותר מ-50 איש לכל מטרה, גם להפגנה",2020-09-21
גילה גמליאל,השרה להגנת הסביבה הליכוד,0,על תרומת נתניהו להתיישבות היהודית בשטחים,בתקופת נתניהו יש עלייה מאוד גדולה בהתיישבות ביוש. הבנייה הולכת ועולה,2020-09-15
אלי אבידר,חבר כנסת ישראל ביתנו,4,על מערך התחקירים לאיתור חולי קורונה,אמרו שיש 400 חוקרים אפידמיולוגיים. היום אנחנו מבינים שיש רק 27,2020-09-14
בנימין נתניהו,ראש הממשלה הליכוד,0,על הסגר שהוכרז בישראל בגל הקורונה השני,"באוסטריה ובאוסטרליה, בספרד ובצרפת, בגרמניה ובבריטניה - בכל המדינות פתחו, התחלואה עלתה, ואז מתחילים להגביל ולסגור",2020-09-13
נפתלי בנט,"יו""ר ימינה ימינה",4,על בדיקות קורונה לכל דכפין,"בישראל אי-אפשר להשיג בדיקות זמינות בזול. למה במלזיה, בגאורגיה, במסצ'וסטס, בניו יורק אפשר?",2020-09-08
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",0,על אישור תכניות בנייה ליהודים מעבר לקו הירוק,"״מתחילת 2020 נבנו 2,000 דירות בלבד, כשבתקופה מקבילה כשכיהנתי כשר הביטחון חתמתי על היתרים ללמעלה מ-7,000 דירות",2020-09-06
יואב גלנט,שר החינוך הליכוד,3,על פתיחת בתי ספר בערים מוכות קורונה,אנחנו יודעים שהילדים הקטנים בכלל לא מידבקים,2020-09-05
יובל שטייניץ,שר האנרגיה הליכוד,3,על השיתוק של עבודת הממשלה,תמיד באוגוסט יש שבועיים-שלושה בלי ישיבות ממשלה. כך היה בכל השנים הנורמליות,2020-09-05
יואל רזבוזוב,"חבר כנסת יש עתיד-תל""ם",0,"על הבחירות הפנימיות ליו""ר המפלגה","יש עתיד מפלגה צעירה, 8 שנים. גם בליכוד הפריימריז התחילו בשנת 92', אחרי מעל 8 שנים",2020-09-03
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",5,על מחדלי משרד החינוך בהתמודדות עם הקורונה,לבתי הספר אין נוהל מה קורה אם יש תלמיד או איש צוות חולה,2020-08-31
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הקלות למי שכביכול התחסנו לקורונה,היום מי שחלה בקורונה וחוזר לארץ פטור מבידוד,2020-08-31
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",3,על סיווג התחלואה בקורונה בישראל ובעולם,"אנחנו מדינה אדומה, בזמן שכל אירופה כבר ירוקה",2020-08-26
איילת שקד,חברת כנסת ימינה,4,על תרומתה לייעול עבודת הפרקליטות כשרת משפטים,לפני שנכנסתי לתפקיד תיקים נמרחו שנים בפרקליטות. זמן החקירות והזמן שתיקים היו פתוחים התקצר משמעותית,2020-08-26
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",0,על המשך קיום העם היהודי,באירופה ובארצות הברית אנחנו מגיעים ל-70% נישואי תערובת והתבוללות,2020-08-26
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על מתן זכות עלייה לנכדי יהודים ב-1970,סעיף הנכד בחוק השבות לא הושפע מחוקי נירנברג: אין לכך זכר בדיוני הכנסת. זו המצאת אמנון רובינשטיין שהיה אז חכ,2020-08-25
אופיר כץ,חבר כנסת הליכוד,1,על הפיקוח הציבורי במעונות יום,"80 מפקחים צריכים לפקח על 10,000 פעוטונים, לפי ההערכה, ויש היום רק 23",2020-08-19
יזהר שי,שר המדע והטכנולוגיה כחול לבן,1,"על מינוי מפכ""ל המשטרה",בהסכם שבינינו ובין הליכוד יש הסכמה שאנחנו נדון במינויי בכירים ונסכם אותם. עוד לא סיכמנו,2020-08-19
צבי האוזר,חבר כנסת כחול לבן,0,על הצעתו להחיל את חוק יסוד משאל עם על יהודה ושומרון,חמש ממשלות שונות ניהלו מומ על ירידה מרמת הגולן. חוק יסוד: משאל עם שם לזה סוף. כל ממשלה שתרצה לרדת מהגולן צריכה לעבור דרך הציבור,2020-08-17
בנימין נתניהו,ראש הממשלה הליכוד,2,על חסינות מפני חקירות בפרלמנט הגרמני,"בגרמניה אי אפשר לחקור חבר פרלמנט בלי אישור המליאה, מפני שמבינים שם כמו בדמוקרטיות רבות, שעלולים לנסות לחולל הפיכה שלטונית באמצעים פסולים",2020-08-12
זאב אלקין,מועמד לכנסת תקווה חדשה,4,על הטיפול המשפטי באיומים כלפי נתניהו ומשפחתו,"כמה כתבי אישום הוגשו, וכמה אנשים הורשעו על איומים והסתה נגד ראש הממשלה?",2020-08-12
מיקי זוהר,"יו""ר הקואליציה הליכוד",4,על הבחירה בתקציב חד- או דו-שנתי,תקציב חד שנתי הוא תקציב נכון מבחינת כל גורמי המקצוע,2020-08-04
מירי רגב,שרת התחבורה הליכוד,4,על עידוד ההפגנות נגד הממשלה,הקרן החדשה כותבים תעבירו את הטלפונים שלכם למצב טיסה. זו עבירה על החוק,2020-08-02
גדי יברקן,סגן השר לביטחון פנים הליכוד,4,על מקור הרעיון להקמת יישוב ליוצאי אתיופיה,לאחינו מברית המועצות נתנו מושבים. ליוצאי אתיופיה לא נתנו את הדבר הזה,2020-07-30
אופיר אקוניס,השר לשיתוף פעולה אזורי הליכוד,5,על הסיבה לכך שיהודים חיים מחוץ לארץ ישראל,"טרגדיית הגלויות החלה לפני 2,000 שנה. מכאן נפוצנו לכל העולם והחלה החלוקה לעדות",2020-07-29
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על הקלות לחרדים בימי הקורונה,אישרו ל-17 אלף תלמידי ישיבות מארהב להגיע לחגים בלי שום מגבלות שחלות על שאר האוכלוסייה,2020-07-28
איילת שקד,חברת כנסת ימינה,1,על האפשרות למנוע התפשטות קורונה,"בגרמניה יש מעבדה בשדה התעופה. מי שנכנס ממדינה אדומה עושה בדיקה, תוך שלוש שעות תוצאות",2020-07-27
אוסנת מארק,חברה בוועדה למינוי שופטים ליכוד,5,על הבזבוז בלשכת עורכי הדין,"הלשכה מגלגלת למעלה מ-150 מיליון שקל, ועורכי הדין מחויבים באגרה של יותר מ-1,200 שקל",2020-07-27
עמיר פרץ,שר הכלכלה העבודה,3,על עידוד ההשקעה מוסדית בהייטק,"בזמן שקרן המורים מארהב השקיעה בהייטק בישראל, על קרנות ישראליות אסרו להשקיע",2020-07-23
איציק שמולי,שר העבודה והרווחה העבודה,3,על חלוקת מענקי קורונה אחידים,"תוכנית טראמפ הזניקה את החיסכון הפרטי, היא לא תרמה כמעט במאומה לצמיחה",2020-07-22
שלמה קרעי,חבר כנסת הליכוד,5,על השכר הנמוך של נתניהו,ראש הממשלה משתכר פחות מהמינימום עבור 30 ימי עבודה של 18 שעות,2020-07-20
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על הישגיו כשר האוצר,"כשנכנסתי לאוצר האבטלה הייתה בקו עליה תלול, מעל 6.8%. התחלתי טיפול אגרסיבי והיא ירדה ל-5.9%",2020-07-17
פנינה תמנו-שטה,שרת העלייה והקליטה כחול לבן,5,על העלייה בימי המגפה,"הגיעו כ-7,000 עולים חדשים בתקופת הקורונה",2020-07-14
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,על האדישות של כחול לבן למשבר הקורונה,בוועדת הקורונה אין לכחול לבן אף נציג,2020-07-12
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",2,על מענק הקורונה,"בארהב אנשים קיבלו מיד 1,500 דולר בלי לבדוק להם בציציות",2020-06-30
אלי כהן,שר המודיעין הליכוד,0,על ההסדר המוצע לפלסטינים בתוכנית טראמפ,לקוסטה ריקה [פוארטו ריקו] יש אוטונומיה כמו שמציעים לפלסטינים,2020-06-23
שלמה קרעי,חבר כנסת הליכוד,5,על תאגיד השידור הציבורי,"רהמ ניסה לסגור את רשות השידור והקימו לו מפלצת יותר גדולה, עם מימון ציבורי שקרוב למיליארד שקל בשנה",2020-06-23
אסף זמיר,שר התיירות כחול לבן,4,על הצורך לעודד תיירות מקומית לטבריה,טבריה היא עיר ש-90% מהתיירים בה הם תיירים זרים,2020-06-23
עודד פורר,חבר כנסת ישראל ביתנו,4,על הוויתורים של נתניהו למפלגות החרדיות,בהסכמים הקואליציוניים קבעו שכל תקציב הישיבות - שעד היום ניתן מעת לעת - ייכנס לבסיס התקציב,2020-06-23
עמיר פרץ,שר הכלכלה העבודה,5,על הצורך להגן על מפעלים מקומיים,"בברזיל אין מפעל מלט, והמחירים בשמים!",2020-06-22
ארנון בר-דוד,"יו""ר ההסתדרות",4,על השכר במגזר הציבורי,"המגזר הציבורי, איך הוא מורכב? 70% שמקבלים שכר מינימום או באזור",2020-06-21
יצחק אילן,"לשעבר סגן ראש השב""כ כחול לבן (לשעבר)",5,על השלכות הלגליזציה של קנביס,הייתי בהולנד וראיתי שחצי מדינה מסטולה באופן תמידי,2020-06-21
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,על האפשרויות לפירוק השותפות עם כחול לבן,סוכם שתוך חצי שנה נוכל להחליט לפרק את הממשלה בלי שראש הממשלה יצטרך לפנות את תפקידו,2020-06-15
מיכאל ביטון,חבר כנסת כחול לבן,4,על הבלמים בדרך להחלטה על סיפוח,"קבענו בהסכם הקואליציוני שדיון בהחלת ריבונות יתחיל בכנסת, בוועדת חוץ וביטחון, ולא יתקדם בלי הסכמה מפורשת של האמריקאים ומדינות אחרות",2020-06-14
משה גפני,יושב ראש ועדת הכספים יהדות התורה,1,על המתכונת הרצויה לתקציב 2020,אין מדינה עם תקציב דו-שנתי חוץ מבחריין. בכל המדינות האחרות יש תקציב חד-שנתי,2020-06-09
זאב אלקין,מועמד לכנסת תקווה חדשה,2,על הצידוק להקמת המשרד שהוא עומד בראשו,משרד להשכלה גבוהה זה לא משהו שהומצא. בעשרות מדינות המשרד הזה קיים,2020-06-07
יאיר גולן,חבר כנסת מרצ,4,על הנזק הצפוי מהחלת החוק הישראלי בשטח C,20 כפרים פלסטינים שסיפחנו - זה מה שהוריד את ירושלים מאשכול 7 לאשכול 2,2020-06-06
קטי שטרית,חברת כנסת הליכוד,5,על ההצעה להסיר את האחד במאי מרשימת ימי הבחירה,מעתה לא ניתן יהיה לציין יום זה על חשבון משלם המיסים הישראלי,2020-06-01
מאי גולן,חברת כנסת הליכוד,5,"על אפליה לטובת הזרים בת""א","אם אנחנו נפר הנחיית קורונה נקבל דוח. עובדים זרים, מסתננים ושבחים בתא לא קיבלו",2020-06-01
זאב אלקין,מועמד לכנסת תקווה חדשה,3,על תשלומי הרשות הפלסטינית לכלואים בישראל,המשכורת הכי גבוהה ברשות הפלסטינית זה לשני אנשים - או שאתה שר בממשלה או שרצחת ישראלים,2020-05-21
אסף זמיר,שר התיירות כחול לבן,4,על נזקי הקורונה בעיר התיירות,ירדתי הבוקר לאילת. משימת שיקום לאומית לפנינו. 80% אבטלה,2020-05-21
אלי כהן,שר המודיעין הליכוד,4,על הישגי מפלגת כולנו,"כשכחלון היה באוצר ואני בכלכלה, הורדנו את האבטלה בדימונה מ-16% ל-6% בלבד",2020-05-18
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על הבדיקות התקופתיות לכלי רכב,אין הצדקה לטסט כל שנה. כל שנתיים ואפילו שלוש מספיק בהחלט. יש מדינות שכבר עשו את זה,2020-05-15
אחמד טיבי,חבר כנסת הרשימה המשותפת,1,על משמרות המתמחים ברפואה,ברוב מדינות ה-OECD יש פחות שעות תורנות מאשר 26 כמו בישראל,2020-05-12
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",2,על הוצאות משרד התחבורה בתקופת הקורונה,"הירידה בקיבולת האוטובוסים מוסיפה מיליארד וחצי שקל לסובסידיה לחברות, שממילא עומדת על 10 מיליארד שקל",2020-05-08
מירי רגב,שרת התחבורה הליכוד,4,על ההשקעה באצטדיונים ובמגרשים,השגתי כסף לקרן למתקני ספורט. רק בשנה שעברה הוצאנו יותר ממיליארד שקל על מתקנים,2020-05-06
עאידה תומא סלימאן,חברת כנסת הרשימה המשותפת,2,על הפיצוי לרשויות שהפסידו הכנסות בשל הקורונה,"2.8 מיליארד שקל הועברו לכל הרשויות המקומיות, מתוכם פחות מ-2% לרשויות הערביות",2020-05-06
חילי טרופר,חבר כנסת כחול לבן,4,על הטענות לרמיסת האופוזיציה בהסכם בין הליכוד לכחול לבן,"בדרך כלל היו לאופוזיציה שתי ועדות, בדרך כלל ביקורת המדינה וכלכלה. וזו גם ממשלת אחדות ",2020-05-04
איילת שקד,חברת כנסת ימינה,1,על שריון התיקון לחוק יסוד הממשלה,אומרים שרק 75 חכים יוכלו לשנות את החוק. אין לזה כמעט אח ורע. יש תקדים אחד יוצא דופן,2020-05-04
אבי דיכטר,חבר כנסת הליכוד,3,"על נכונות בג""ץ להתערב בחוק הלאום","מספר ישיבות הכנסת על חוק הלאום היה מעל 80, לעומת דיונים בודדים בחוקי היסוד של 1992",2020-05-01
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",3,על הצורך לאסור על נאשם להרכיב ממשלה,נאשם עם שלושה כתבי אישום לא יכול להיות מורה או מנהל בנק. לא מגייסים לצבא אנשים עם כתבי אישום כאלה,2020-04-30
אלי כהן,שר המודיעין הליכוד,0,על סיכויי הזיכוי של פוליטיקאים,למעלה מ-50% מראשי הערים שהיו נגדם כל מיני חשדות יצאו זכאים,2020-04-30
חילי טרופר,חבר כנסת כחול לבן,2,על ההסכם הקואליציוני בין הליכוד לכחול לבן,גם בממשלת האחדות של 84' לא היה נציג של האופוזיציה בוועדה לבחירת שופטים,2020-04-22
עמיר פרץ,שר הכלכלה העבודה,0,על התנאים להחלת ריבונות בהסכם הקואליציוני בין הליכוד לכחול לבן,"לפני שראש הממשלה יוכל להביא הצעת סיפוח לכנסת, צריך קודם דיון בקבינט ואז דיון בממשלה",2020-04-22
יאיר גולן,חבר כנסת מרצ,5,על הבטחות הבחירות של כחול לבן,"כחול לבן הבטיחה שלא תקבל תמיכה מהרשימה המשותפת לפני סבב 2, אבל לא לפני סבב 3",2020-04-21
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",1,על הקשיים המשפטיים בהסכם בין הליכוד לכחול לבן,בגץ קבע בפסק דין בעניין אילטוב שנציג אופוזיציה בוועדה למינוי שופטים הוא 'נוהג חוקתי מחייב',2020-04-14
נפתלי בנט,"יו""ר ימינה ימינה",2,על ההצדקה להקמת ממשלה גדולה,יש קורלציה [חיובית] בין מספר השרים בממשלה לבין אורך הקדנציה,2020-04-06
מטאנס שחאדה,"יו""ר בל""ד הרשימה המשותפת",3,על החברה הערבית בסגר הקורונה,50% מהעובדים הערבים הם עדיין שכירים שעובדים מחוץ ליישובים שלהם,2020-04-02
אריה דרעי,"שר הפנים ש""ס",3,על התפרצות הקורונה בבני ברק,בני ברק היא העיר הצפופה ביותר בעולם,2020-03-31
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",2,על 34 השרים הצפויים בממשלת הליכוד וכחול לבן,"ממשלת נתניהו החמישית תהיה כפולה ויותר מממשלות שווייץ, ספרד, אוסטריה, ארהב, צרפת וגרמניה",2020-03-30
הליכוד,מפלגה,2,"על ההתנגדות למינוי מאיר כהן ליו""ר הכנסת",יושב ראש הכנסת בא תמיד מהמחנה של ראש הממשלה,2020-03-23
משה בוגי יעלון,"חבר כנסת יש עתיד-תל""ם",5,על הצורך בחוק נגד בחירת ראש ממשלה נאשם,אין דבר כזה בשום דמוקרטיה שמישהו עם כתבי אישום יכול להיבחר לראשות ממשלה,2020-03-21
איציק שמולי,שר העבודה והרווחה העבודה,3,על המוכנות של ישראל למגפת הקורונה,"ישראל מוציאה 17 מיליארד פחות בשנה בהשוואה ל-OECD, היחידה שמציגה ירידה בשעור הרופאים ומחסור של יותר מעשרת אלפים מיטות",2020-03-19
בני גנץ,"יו""ר מפלגה כחול לבן",2,על העיכוב בהקמת ועדות הכנסת במשבר הקורונה,בכל העולם פרלמנטים ממשיכים לתפקד במדינות עם אלפי חולים. כאן אדלשטיין ונתניהו החליטו לשרוף את הכללים,2020-03-18
אביגדור ליברמן,"יו""ר ישראל ביתנו ישראל ביתנו",4,על הזנחת מערכת הבריאות,"לפני שנה, לפני הקורונה, קראנו בדוח מבקר המדינה שחסרים לפחות 6 בתי חולים בגודל של שיבא",2020-03-16
היבא יזבק,חברת כנסת הרשימה המשותפת,1,על הסיוע לעסקים במשבר הקורונה,"שכירים בבידוד מקבלים ימי מחלה בתעודת מחלה גורפת, ואילו לעצמאים אין אפשרות כזו. יש 280 אלף כאלה",2020-03-13
יובל שטייניץ,שר האנרגיה הליכוד,4,על הפגיעה בסחר בשל הקורונה,98% מנפח הסחורות לישראל וממנה בא באוניות - שם אין בעיה של נוסעים שצריכים בידוד,2020-03-10
בועז טופורובסקי,חבר כנסת כחול לבן,5,על הבהלה מנגיף הקורונה החדש,מי שלא מפחד משפעת לא צריך לפחד מקורונה,2020-03-09
אלי כהן,שר המודיעין הליכוד,4,על מקורות המימון לקרן הקורונה,מתחילת השנה יש בתקציב המדינה עודפים של למעלה מ-10 מיליארד שקל,2020-03-08
בנימין נתניהו,ראש הממשלה הליכוד,4,על התוכנית לגייס בני נוער לחיטוי אתרים מנגיף הקורונה,"המגיפה לא פוגעת בילדים ובנוער, תודה לאל: אין לנו מקרה אחד שאנחנו יודעים עליו",2020-03-07
עפר שלח,"חבר כנסת יש עתיד-תל""ם",2,"על הסנקציות על ח""כים ""עריקים""","מי שמצביע אמון בממשלה בניגוד לעמדת סיעתו לא יכול להיות חבר במפלגה אחרת, או לקבל תפקיד מטעמה",2020-03-03
יאיר לפיד,"ראש האופוזיציה יש עתיד-תל""ם",4,"על התוכנית לבי""ח לקורונה בראשל""צ","בכל מקום בעולם עושים לחולי קורונה בית חולים שדה עם בידוד, במקום בלי אוכלוסייה",2020-02-20
יעקב ליצמן,שר הבריאות יהדות התורה,3,על הישגיו במשרד הבריאות,"התחלתי את תפקידי עם 9 MRI במדינה, היום זה 60 ומשהו, 61-62",2020-02-17
